id,name,slug,title,description,category,rarity,targetValue,iconUrl,isActive,autoAward,manualOnly,isShame,sortOrder,ruleData,ruleComplexity,rulePerformanceScore,lastRuleValidation,createdAt,updatedAt
1,MuskBucks Millionaire,muskbucks-millionaire,MuskBucks Millionaire,"Earn ≥1,000,000 MuskBucks net profit from betting",betting,legendary,1000000,,t,t,f,f,100,"{""progress"": {""kind"": ""threshold"", ""setIf"": {""netProfit"": ""$.netProfit""}}, ""eventKeys"": [""user:balance:snapshot""], ""unlockWhen"": {""progress >="": 1000000}}",0,0,,2025-08-15 02:39:57.628,2025-09-06 03:03:40.291
2,Big Spender,big-spender,Big Spender,"Place a single bet with stake ≥100,000 MuskBucks",betting,rare,100000,,t,t,f,f,101,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""amount >="": 100000}}, ""eventKeys"": [""bet:placed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.632,2025-08-23 02:27:38.596
3,YOLO All-In,yolo-all-in,YOLO All-In,Go all-in with your entire balance and win,betting,uncommon,1,,t,t,f,f,102,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""wasAllIn"": true}}, ""eventKeys"": [""bet:won""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.633,2025-09-06 03:03:40.3
4,Paper Hands,paper-hands,Paper Hands,Lose 5 bets in a row,betting,uncommon,5,,t,t,f,f,103,"{""progress"": {""kind"": ""streak"", ""resetIf"": {""won"": true}, ""incrementIf"": {""won"": false}}, ""eventKeys"": [""bet:won"", ""bet:lost"", ""parlay:won"", ""parlay:lost""], ""unlockWhen"": {""progress >="": 5}}",0,0,,2025-08-15 02:39:57.633,2025-08-23 02:27:38.597
5,Diamond Hands,diamond-hands,Diamond Hands,Win 10 bets in a row,betting,rare,10,,t,t,f,f,104,"{""progress"": {""kind"": ""streak"", ""resetIf"": {""won"": false}, ""incrementIf"": {""won"": true}}, ""eventKeys"": [""bet:won"", ""bet:lost"", ""parlay:won"", ""parlay:lost""], ""unlockWhen"": {""progress >="": 10}}",0,0,,2025-08-15 02:39:57.634,2025-09-06 03:03:40.285
6,Parlay Prodigy,parlay-prodigy,Parlay Prodigy,Win a parlay with 3 or more legs,betting,rare,3,,t,t,f,f,105,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""legCount >="": 3}}, ""eventKeys"": [""parlay:won""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.635,2025-09-06 03:03:40.296
7,The Long Shot,the-long-shot,The Long Shot,Win a bet with implied odds less than 10%,betting,rare,1,,t,t,f,f,106,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""odds >"": 10}}, ""eventKeys"": [""bet:won"", ""parlay:won""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.636,2025-09-06 03:03:40.299
8,Bankrupt Billionaire,bankrupt-billionaire,Bankrupt Billionaire,Your MuskBucks balance hits zero,betting,uncommon,1,,t,t,f,f,107,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""balance"": 0}}, ""eventKeys"": [""user:balance:snapshot""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.637,2025-09-06 03:03:40.278
9,Rags to Riches,rags-to-riches,Rags to Riches,"Go from <100 to ≥50,000 MuskBucks in the same day",betting,uncommon,50000,,t,t,f,f,108,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""previousBalance <"": 100}, {""balance >="": 50000}]}}, ""eventKeys"": [""user:balance:snapshot""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.637,2025-09-06 03:03:40.296
10,High Roller,high-roller,High Roller,Hold #1 position on leaderboard for 7 consecutive days,leaderboard,legendary,7,,t,t,f,f,200,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""rank <="": 10}, {""totalBets >="": 500}]}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.638,2025-09-06 07:05:15.249
